index,text,paraphrased_text
788,I don't think those 12 days we speak to each ,"[""I don't think we speak for 12 days in a row.""]"
789,other much after 23 days I would like yeah with ,['I would like more after 23 days.']
790,you yes is it taken for granted that he will ,['Is it taken for granted that he will do it?']
791,cost you in the films he makes or is that ,['Is it cost you in the films he makes?']
792,you don't know nothing nothing like that but we in ,"[""You don't know anything like that.""]"
793,fact work lesser you know it does part 5 or ,['You know it does part 5.']
794,6 films hiroin every 23 years I do one film ,['I do one film every 23 years.']
795,with him so we are not very occasional once there ,['We are not very frequent there with him.']
796,is a nice project no it's just like how I ,"[""It's just like how I do.""]"
797,work outside is very professional how do you normally choose ,['How do you choose to work outside?']
798,your scripture is there now is there gonna be even ,['Is there going to be even?']
799,more pressure on what you do next because you just ,['You just have more pressure on what you do next.']
800,delivered something so massive our life that say if there ,['If there is something so massive that we have.']
801,is no pressure but I would not want to take ,['I would not want to take it.']
802,about I did not want I dont want to take ,"[""I don't want to take.""]"
803,dont take that pressure which is because what God is ,['Do not take that pressure because what God is.']
804,here is the fact that we work very true to ,['The fact that we work is very true.']
805,our work I think what will take us furthermore is ,['I think what we do will take us.']
806,also is that affected to work then these all these ,['Is that affected to work?']
807,calculations for decide the market the numbers and I think ,['I think calculations are used to decide the market numbers.']
808,once you get to work you should put all that ,['You should put it all together when you get to work.']
809,aside and just be very true to the work that ,['Just be very true to the work.']
810,you select I think that's what this call is here ,"[""I think that's what this call is about.""]"
811,I think that's what will take this furthermore thats the ,"[""I think that's what will happen.""]"
812,that something that we're thinking of now to answer your ,"[""We're thinking of something to answer your question.""]"
813,question what is the question sorry then how do you ,"['What is the question, how do you answer it?']"
814,choose your scripts yeah and every time there's a different ,"[""Every time there's a different script, choose yours.""]"
815,requirement like you know before I chose love kondapuram no ,['It was like that before I chose love Kondapuram.']
816,I I wanted to do entertainment film I just want ,['I want to do an entertainment film.']
817,to entertain up this journal of the film then you ,['You should read this journal of the film.']
818,know that I got this film so everytime the priority ,"[""I have this film so it's the priority.""]"
819,changes now my priorities like not to do an entertainer ,['My priorities now are not to do an entertainer.']
820,yeah so now I'm looking for something entirely different which ,"[""I'm looking for something completely different now.""]"
821,is from entirely different from this massive kondapuram low Jon ,['Jon is completely different from this massive Kondapuram low.']
822,so now I am doing now I'm stepping into fill ,"[""I'm stepping into fill now.""]"
823,that's an entirely different Shona so it changes from film ,"[""That's not the same as film, so it changes.""]"
824,to film we just have to keep challenging ourselves from ,['We have to keep challenging ourselves to film.']
825,day today so you decide the genre first and then ,"['Today is the day, so you decide the genre first.']"
826,look for a script to match it many times yes ,['Look for a script that matches it many times.']
827,many times or sometimes we just have to wait wait ,['Sometimes we have to wait.']
828,open actually we are open but what I see through ,"['We are open, but what I see is different.']"
829,that is that I see so that you know the ,['That is what I see.']
830,same genre film does not repeat in the last 2 ,['The last two films did not repeat the same genre film.']
831,films correct thats only you make sure that the differentiation ,['You have to make sure that the differentiation is correct.']
832,absolute that's a good thing tell me what do you ,['Tell me what you think.']
833,think your biggest challenge in Hindi cinema will be the ,['The biggest challenge in Hindi cinema will be you.']
834,language undoubtedly the language how good is your Hindi not ,['How good is your Hindi?']
835,good at all but you that like your pickup write ,"[""It's good, but you like your pickup.""]"
836,something that can be viewed using any cultural differences in ,['Any cultural differences can be used to view something.']
837,the film industry here and there absolutely what what what's ,['There is a film industry here and there.']
838,like the biggest on the mindset of the people is ,['The mindset of the people is the biggest.']
839,entirely different I mean the expectation of a South film ,['The expectation of a South film is completely different.']
840,the template of the South film is very different from ,['The template of the South film is different.']
841,a template of of Bollywood film is very differently you ,['A template of Bollywood film is different.']
842,can compare quite different just meaning like the cultural textures ,"['Just like the cultural textures, can compare quite different.']"
843,or in what way is it different its different for ,['In what way is it different?']
844,each actors actually you know some newcomers have a certain ,['Some newcomers have a certain set of skills.']
845,template yeah you know for establish actors they have a ,['They have a template for establish actors.']
846,different template South films if you see that they have ,['You can see that they have different template South films.']
847,a different template altogether in the fights they are the ,['They are a different template in the fights.']
848,songs its a multi Rana film I don't think he ,"[""I don't think he's in the film.""]"
849,is a little more Shona specific right it's become so ,"[""It's become a little more specific.""]"
850,yeah it's become so yeah so I think he is ,['I think he is.']
851,a little more genre specific and South Indian films are ,['South Indian films are a little more specific.']
852,still monkeys in a multi genres that's the only difference ,['monkeys are in a multi genres']
853,IC an you have a house here yeah I just ,['I just know that you have a house here.']
854,have an apartment yeah yeah it feels like you're very ,['It feels like you have an apartment.']
855,serious no no I've been having this house for last ,"[""I've been living in this house for the last time.""]"
856,56 years we want to get a good one what ,['We want to get a good one for 56 years.']
857,does the office guesthouse you know in case we just ,['Do you know about the office guesthouse?']
858,want to drop our bags but we've been crying to ,"[""We've been crying and want to drop our bags.""]"
859,get a nice house also did you your acting classes ,['Did you take acting classes?']
860,here for about 6 months 152815 to 17 years back ,['About 6 months and 17 years ago.']
861,yeah I did it at kishore namit Kapoor you are ,['I did it at kishore.']
862,familiar with the city yes yes of course Bombay I ,['I am familiar with Bombay.']
863,love you know there's one place I think apart from ,"[""There's one place I don't think about.""]"
864,Hyderabad if you have a you know places such I ,"['If you have a place like that, please let me know.']"
865,think its only Bombay yeah we had an apartment so ,['We had an apartment in Bombay.']
866,we all love Bombay all of us my brother my ,['My brother and I love Bombay.']
867,dad also we work out of here most of them ,['We work out here most of the time.']
868,might cooler from Bombay or summer technicians are from Bombay ,['It might be cooler from Bombay.']
869,we love Bombay it's fab and cannot wait to see ,"[""We love Bombay and can't wait to see it.""]"
870,what you do here next thank you so much thank ,"['Thank you so much, what do you do next?']"
871,you if you like this video please subscribe to film ,"['If you enjoy this video, please subscribe to it.']"
872,companion kotamraju I need a holly refresh chat video Colgate ,['I need a video with my companion.']
873,Max fresh deli minty cooling crystals nutritious refresh Colgate maxfresh ,['Colgate maxfresh has minty cooling crystals.']
874,how to undo a lot to be a rajamouli zero ,"['To be a rajamouli zero, you have to undo a lot.']"
875,the moment I think that okay I'm in a God ,"[""I'm in a God when I think of it.""]"
876,like state and anyone and everyone will do whatever I ,['Everyone will do whatever I say.']
877,want that is my first step to downfall it's so ,"[""It's my first step to downfall.""]"
878,lovely to see the 3 of you and you know ,['It was lovely to see the 3 of you.']
879,star power in this room is just Gosling but I ,['There is only one star power in this room.']
880,think I think the 2 of you will agree with ,['I think the 2 of you will agree.']
881,me when I say that because start in this room ,['Start in this room.']
882,is this Mans imagination I mean I would love some ,['I would love to have this imagination.']
883,way to be able to peek into that brain and ,"[""It's possible to peek into that brain.""]"
884,see how he does the things he does but how ,['See how he does things.']
885,he comes up with images that he does you know ,['He comes up with pictures.']
886,so I think your superpower is really the ability to ,['I think you have the ability to.']
887,combine spectacle with emotion yo movies are like these modern ,['These modern movies combine spectacle with emotion.']
888,day mythological but you never let us lose sight of ,['You never let us lose sight of it.']
889,the human relationships how do you keep that balance I ,['How do you keep the human relationships balanced?']
890,mean I don't think of it but I don't try ,"[""I don't try to think of it.""]"
891,to balance it but the way I operate he's on ,"[""The way I operate he's on.""]"
892,the basis of emotion so whether I give a spectacle ,['I give a spectacle on the basis of emotion.']
893,I don't give a spectacle it might change but the ,"[""It might change, but I don't give a spectacle.""]"
894,emotional part of it will not change I cannot function ,"[""I can't function because emotional part of it won't change.""]"
895,otherwise I mean even for a song like Nacho Nacho ,['I mean even for a song.']
896,which is supposed to be a mass dancing number I ,['I is supposed to be a mass dancing number.']
897,just cannot put one's dance number like that I got ,"[""I can't put one's dance number like that.""]"
898,to have emotion underneath that I need to have an ,['I need to have emotion.']
899,emotional need emotional conclusion emotional underlying even for a song ,['Emotional conclusion even for a song.']
900,like nature nature that is how so your basic principle ,['Your basic principle is nature.']
901,is emotion everything else comes out yes yes you know ,['Is emotion the only thing that comes out?']
902,i interviewed mr vijayendra prasad a couple of months ago ,['I interviewed Mr. vijayendra prasad a few months ago.']
903,and he said to me in this film is going ,['He told me that the film is going.']
904,to be action and tears i was like how how ,['I was like how to be action and tears.']
905,does that work what is your explanation how do you ,['How do you explain that?']
906,combine accident until i think if you and I have ,"['If you and I have, combine accident.']"
907,been dating for around a month thing started to change ,['Things started to change when I was dating for a month.']
908,it started off small sometimes I would go to my ,['Sometimes I would go to my house.']
909,closet and try to find my favourite red shirt and ,['Try to find a red shirt in the closet.']
910,it would be missing I would look everywhere but I ,"[""I would look everywhere but it wouldn't be there.""]"
911,couldn't find it other things started to go missing to ,"[""Couldn't find it and other things went missing.""]"
912,my earphones disappeared even though I had sworn I'd seen ,"[""Even though I swore I'd seen them, my earphones vanished.""]"
913,them on the kitchen table just a minute ago some ,['They are on the kitchen table.']
914,of the assets that I had written would disappear even ,['The assets that I had written would disappear.']
915,though they had been safely tucked into my folders it ,['They were tucked into my folders.']
916,didn't make any sense sometimes money would disappear from my ,"[""It didn't make sense that money would disappear from my account.""]"
917,wallet as well I asked Megan but she said she ,['I asked Megan if she had a wallet.']
918,had no idea where they had gone weeks went by ,['They had no idea where they had gone.']
919,and I soon forgot about my missing stuff then I ,['I forgot about my missing stuff.']
920,went to megan's dorm room one day I was in ,"[""I went to megan's dorm room one day.""]"
921,her bedroom and she was outside chatting to some friends ,['She was talking to her friends outside.']
922,i was standing beside her bad and as....ave it when ,['I was standing next to her bad.']
923,megan return to her room that's all I forgot about ,['I forgot about her return to her room.']
924,the missing stuff you remember how I told you Megan ,['You remember how I told you about the missing stuff?']
925,would let me have time to myself well after several ,['I would be given time to myself after several.']
926,weeks of dating all that changed she would start forcing ,['She would start forcing after weeks of dating.']
927,me to be with her and hang out instead of ,['I should hang out with her instead of being with her.']
928,studying I had to spend every second of everyday with ,['I spent every second of my day studying.']
929,her even if I didn't want to but she told ,"[""She told if I didn't want to.""]"
930,me she missed me so much so I believed in ,['I believed in her because she missed me so much.']
931,trusting her but as I spent more and more time ,['I was spending more and more time with her.']
932,with her and last and last time studying for college ,['With her last and last time going to college.']
933,my grades started to decline but I had the perfect ,['I had the perfect grades as my grades started to decline.']
934,girlfriend so I didn't mind sacrificing my grades if it ,"[""I didn't mind sacrificing my grades.""]"
935,meant I could stay with Megan but then sometimes I ,['Sometimes I could stay with Megan.']
936,would be in my dorm with Megan and I would ,['Megan and I would be in my dorm.']
937,go to the bathroom for a second I would come ,['I would go to the bathroom for a second.']
938,out and Megan would be on my computer looking through ,['Megan was on my computer.']
939,my files she was really disregarding my privacy but when ,['She was ignoring my privacy when she had my files.']
940,I asked her what she was doing she said she ,['I asked what she was doing.']
941,was just searching up something on Google so I let ,['I was just looking up something on the internet.']
942,it slide as a couple we would send pics to ,['We would send pics of the slide.']
943,each other honour phones and I would send a bunch ,['I would send a bunch of honour phones.']
944,of funny faces and embarrassing photos that I would prefer ,['I would rather have funny faces and embarrassing photos.']
945,to stay between us but then Megan would screenshot them ,['Megan would screenshot them if we stayed between us.']
946,joking she would use it for blackmail I left it ,['I left it because she would use it for blackmail.']
947,off as well but little did I know what she ,"[""I didn't know what she was.""]"
948,was capable of than one night something really scary happened ,['Something really scary happened one night.']
949,I was sleeping in my bag and I thought I ,['I thought I was sleeping.']
950,heard a noise I woke up heart beating fast and ,['I woke up with my heart beating fast.']
951,I saw Megan sitting in a chair just staring at ,['Megan was sitting in a chair.']
952,me I cried out in shock I leaned over to ,['I leaned over and cried out in shock.']
953,turn my bedside lamp on and when I turned back ,"['When I turned back, turn my lamp on.']"
954,she was gone I asked Megan about it but she ,"['I asked Megan about it, but she was gone.']"
955,said I must have been dreaming it felt so real ,['It felt so real that I must have been dreaming.']
956,to me but again I trusted her so I let ,['I let her because I trusted her again.']
957,it go then something happened that was really weird I ,['Something happened that was really weird.']
958,was on my way to class walking with a bunch ,['I was on my way to class.']
959,of my friends and people started staring at me strangely ,['People and friends were staring at me.']
960,and laughing and pointing at me I had no idea ,['I had no idea that they were laughing and pointing at me.']
961,what was going on then one of my friends pulled ,['One of my friends asked what was going on.']
962,out their phone and cried out some anonymous person had ,['They cried out an anonymous person on their phone.']
963,posted all of my embarrassing photos online I was mortified ,['I was horrified when I saw my embarrassing photos online.']
964,but the only person who had seen those photos was ,['Only one person had seen those photos.']
965,Megan surely she wouldn't let them she was my girlfriend ,"[""Megan was my girlfriend and she wouldn't let them.""]"
966,she loved me right I was so confused I didn't ,['I was confused because she loved me.']
967,want to believe she would do that where had the ,['I want to believe she would do that.']
968,perfect girlfriend I'd fallen in love with all that time ,['I fell in love with her all the time.']
969,ago gone I wanted her back it was like one ,['It was like one when I wanted her back.']
970,of those commercials on TV when they show you a ,['There are commercials on TV.']
971,product and it looks so amazing and attractive but then ,['There is a product that looks amazing and attractive.']
972,when you actually get it it turns out it's just ,"[""It's just when you actually get it.""]"
973,a sloppy mess I decided I had to ask Megan ,['I had to ask Megan.']
974,I sent her a message and told him to meet ,['I told him to meet me.']
975,me in the library the place where we first met ,['We first met in the library.']
976,when I got there she was on the table calmly ,['She was on the table when I got there.']
977,reading a book a storm over to her and ask ,['Asking to read a book a storm over to her.']
978,her about the photos how did this happen I asked ,['How did this happen? I asked her.']
979,in anger but Megan just stayed silent and didn't speak ,"[""Megan stayed silent and didn't speak in anger.""]"
980,I kept talking to her but she just looked at ,['She just looked at me while I was talking to her.']
981,me blankly why aren't you answering me how did these ,"[""Why don't you tell me how did these happen?""]"
982,photos get out I repeat it again all I received ,['All I received was photos.']
983,was silence then Megan stood up from receipt and justice ,['Megan stood up from receipt and justice.']
984,walked away as if I hadn't said a thing as ,"[""I walked away as if I didn't say anything.""]"
985,if nothing was wrong as if my entire life wasn't ,['If there was nothing wrong with my life.']
986,ruined by these leaked photos to this day I still ,['I was ruined by these leaked photos.']
987,remember that blank look on her face and it still ,['She had a blank look on her face.']
988,sends chills down my spine I couldn't understand what was ,['I felt a chill down my spine.']
989,happening what was wrong with Megan she used to be ,['What was wrong with Megan?']
990,the most perfect girlfriend what happened then I decided to ,['I decided to find out what happened to the most perfect girlfriend.']
991,confront her I asked her what was wrong and she ,['I asked her what was wrong and she confronted me.']
992,finally revealed everything my so called perfect girlfriend wasn't who ,['Everything my so called perfect girlfriend was not.']
993,I thought she was we were in my dorm room ,['I thought she was in my room.']
994,and I pulled around to my bed no more lies ,['I got around to my bed.']
995,no more unanswered questions I needed to know what was ,"[""I didn't need to ask any more unanswered questions.""]"
996,wrong what's happening Megan why are you acting so strange ,"['Megan, why are you acting strange?']"
997,I asked Megan looked at me then she rolled her ,['I asked Megan to look at me.']
998,eyes I was shocked I left in my hands moving ,['I was shocked to see that I left in my hands.']
999,to hugger to figure out what was wrong but she ,['She wanted to figure out what was wrong.']
1000,turned away from me as if I was revolting I ,"['As if I was revolting, I turned away.']"
1001,was so her why she acting this way a week ,['She was acting this way for a week.']
1002,ago she had closed find me like I was a ,['She had closed the door and found me.']
1003,lifebuoy why did she turn away from me now getaway ,['Why did she leave me now?']
1004,from me she snapped me I was so confused what ,['She snapped me and I was confused.']
1005,why Megan she's called I'm not Megan you idiot my ,"[""I'm not Megan, you idiot.""]"
1006,mind couldn't process her words what are you talking about ,['What are you talking about?']
1007,Megan side and then she brought her fingers to her ,['She brought her fingers to her.']
1008,eyes I stared numbly at her as she seemed to ,['I stared blankly at her.']
1009,dig into her eyes she showed her hands to me ,['She showed her hands to me.']
1010,and I glanced at the eye contacts in them I ,['I looked at the eye contacts.']
1011,looked back up at her and was startled by her ,['I looked back at her and was startled by her.']
1012,blue eyes but she used to have green eyes what ,['She used to have green eyes.']
1013,I mumbled than Megan side again and grabbed her her ,['I grabbed Megan and mumbled.']
1014,I cried out in surprise as her hair fell off ,['I was surprised when her hair fell off.']
1015,revealing the blonde hair beneath it she had been wearing ,['She had been wearing blonde hair.']
1016,a wig all this time and green eye contacts but ,['A wig and green eye contacts.']
1017,why what was the point then I looked at her ,['I looked at her and wondered what the point was.']
1018,more closely and everything made sense as it turned out ,['Everything made sense as it turned out.']
1019,her real name wasn't Megan it was Sarah my ex ,['Sarah was her real name.']
1020,girlfriend from high school my mind recalled memories of Sarah ,['The memories of my high school girlfriend were of Sarah.']
1021,my ex girlfriend from high school who was blonde and ,['My ex girlfriend from high school was blonde.']
1022,have blue eyes she was sitting right in front of ,['She was sitting right in front of her.']
1023,me but why would she here why did she disguised ,['Why did she disguise herself here?']
1024,herself and dated me Sarah I cried out oh now ,['I cried out when I dated Sarah.']
1025,you Remember Me she said I gasped but why why ,['She said I gasped but why?']
1026,did you do this Sarah looked at me with hatred ,['Did Sarah look at me with hatred?']
1027,because you are a terrible boyfriend you always treated me ,['You treated me badly because you are a terrible boyfriend.']
1028,badly and I needed revenge so you leave the photos ,['You leave the photos because I needed revenge.']
1029,yeah and I did still that stuff you in the ,['I did that stuff as well.']
1030,sole I can't believe you didn't realise it I trembled ,"[""I can't believe you didn't know about it.""]"
1031,under the realization that Sarah had changed her identity to ,['Sarah had changed her identity.']
1032,get revenge on me and had used her cover is ,['She had used her cover to get revenge on me.']
1033,my girlfriend to sabotage my life because of her my ,['My girlfriend sabotages my life.']
1034,reputation was ruined my grades have fallen and I was ,['My grades have fallen and my reputation has been ruined.']
1035,broke I couldn't believe it had I really treated her ,"[""I couldn't believe it had been broken.""]"
1036,that badly was a really a terrible boyfriend I tried ,['I tried a really bad boyfriend.']
1037,to remember that one year in high school when I ,['It was one year in high school for me.']
1038,dated her how's it different man back then I was ,['I was with her back then.']
1039,probably known as the school bully I guess I had ,['I suppose I was the school bully.']
1040,been mean to or sometimes I remember calling your names ,['I remember calling you names.']
1041,like stinky Sarah or I remember in class when I ,['I remember stinky Sarah in class.']
1042,had spread the rumour that she had 7 toes on ,['There was a rumour that she had 7 toes.']
1043,one foot if you ask me why I did horrible ,"['If you want to know why I did horrible, you have to ask me.']"
1044,things like that I wouldn't know what to say maybe ,"[""I wouldn't know what to say.""]"
1045,it was just me acting up with my weird teenage ,['I was acting with my weird teenage.']
1046,hormones I don't know but was it really worth plotting ,"[""I don't know if hormones are worth planning.""]"
1047,revenge against me putting all this after into deceiving me ,['Revenge against me for deceiving me.']
1048,besides how is a different person now I was kind ,"['I was kind, besides how is a different person now?']"
1049,I respected women couldn't she see that I had changed ,"[""I respected women, but they couldn't see that I had changed.""]"
1050,but then Sarah spoke up I guess the gig is ,"[""I think the gig is Sarah's.""]"
1051,up so here's the deal if you don't apologise to ,"[""If you don't apologize, here's the deal.""]"
1052,me and admit you are a terrible boyfriend I'm going ,"[""You are a terrible boyfriend, I'm going.""]"
1053,to leak even more photos some of which you really ,['You really want to leak more photos.']
1054,don't want getting out trust me I relented fine I ,"[""I relented and didn't want to get out.""]"
1055,said I'm a terrible boyfriend Sarah smiled evilly and you ,"[""Sarah smiled and said I'm a terrible boyfriend.""]"
1056,suck icai and I suck that's all I needed to ,"[""I suck, that's all I needed.""]"
1057,hear she stood up walked out of the room and ,['She stood up and walked out of the room.']
1058,I never saw her again well not in person at ,"[""I didn't see her again in person.""]"
1059,least I was in my last year of college and ,['I was in my last year of college.']
1060,I was watching the news one day when Sarah space ,"['One day, I was watching the news and MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE MzE']"
1061,popped up on screen except this time she had neither ,"[""She popped up on screen, but she didn't have either.""]"
1062,blonde nor brown hair she had jet black hair and ,['She had blonde hair and jet black hair.']
1063,it was cut in abap she is also wearing dark ,['She is also wearing dark clothing.']
1064,brown eye contacts I was shocked by her appearance but ,['I was surprised by her appearance.']
1065,nothing shocked me more than the Anchorman when he said ,"[""The anchorman's statement shocked me the most.""]"
1066,she was in prison she had been involved in a ,['She had been in prison.']
1067,"bank robbery and its toll over $1,000,000 the police had ","['The toll on the police from the bank robbery was $1,000,000.']"
1068,caught her and she would be serving a sentence of ,['She would be serving a sentence after being caught.']
1069,6 years I was somewhat relieved as I wouldn't have ,"[""I was relieved that I wouldn't have.""]"
1070,to worry about seeing her for another 6 years but ,['I worry about seeing her for another 6 years.']
1071,I was also saddened by how she turned out she ,['I was sad about how she turned out.']
1072,was a maniac was it because of me is that ,['Was it because of me?']
1073,why she acted so crazy had her hatred and revenge ,['She acted crazy because of her hatred and revenge.']
1074,for me driven her insane and then I started a ,['I drove her insane.']
1075,fear for the future what about when she was released ,"['When she was released, what about the future?']"
1076,from prison one of her time spent there just feel ,['She spent a lot of time in prison.']
1077,her hate retorts me what if she came out wanting ,['What if she came out wanting?']
1078,to seek revenge again I still don't know I still ,"[""I don't know if I will seek revenge again.""]"
1079,haven't seen Sarah I'm not sure what was wrong with ,"[""I'm not sure what happened to Sarah.""]"
1080,her but one things for certain Sarah magan whoever she ,['One thing for certain Sarah.']
1081,once was one crazy girlfriend and she wasn't the perfect ,['She was one crazy girlfriend.']
1082,girlfriend I had initially believed her to be Colin something ,['I initially thought her to be Colin.']
1083,came in the mail for you my mum shouted coming ,['My mum shouted when she got the mail.']
1084,maam I said as I rush downstairs when I reached ,['I said as I rushed downstairs.']
1085,the dining room she handed me an envelope addressed from ,['She handed me an envelope in the dining room.']
1086,my dream college this was the letter I have been ,['My dream college was this one.']
1087,waiting for I grabbed it nervously and open this quickly ,['I grabbed it nervously and quickly opened it.']
1088,as I could I got in I got in ice ,['I got in the ice.']
1089,cream I was so excited I would finally be moving ,['I was so excited that I would be moving.']
1090,out of this small town going to college to study ,['Going to college is out of this small town.']
1091,computer science IB travelling over 2000 miles away to start ,['IB is travelling over 2000 miles away to start.']
1092,a life of my own I felt so relieved I ,['I was so relieved that I had a life of my own.']
1093,finally be free a few weeks later I was all ,['I was free a few weeks later.']
1094,packed ready to leave my family came to see me ,['My family came to see me.']
1095,off at the airport as the plane took off I ,"['At the airport, the plane took off.']"
1096,imagined binnu independence as a college student when I arrived ,"['When I was a college student, I imagined binnu independence.']"
1097,on campus I realised that I forgot the most important ,['I forgot the most important on campus.']
1098,task on my To Do List I had registered for ,['I registered for a task on my To Do List.']
1099,a dorm room I found my way to the student ,"[""I went to the student's dorm room.""]"
1100,center and asked if they can help well all of ,['The center asked if they could help all of them.']
1101,the rooms are fully booked honey set an old lady ,['The rooms have an old lady in them.']
1102,who is sitting at a desk what am I supposed ,['Who is sitting at a desk?']
1103,to do now I have nowhere to stay I replied ,['I have nowhere to stay now.']
1104,at that moment a girl walked in and said hi ,['A girl walked in and said hello.']
1105,I'm Megan I'm renting off campus and there's an extra ,"[""I'm renting off campus and there's more than one.""]"
1106,room she smiled well that's if you don't mind living ,"[""If you don't mind living, she smiled.""]"
1107,with a girl and a complete stranger she so here ,['There is a girl and a complete stranger here.']
1108,and I thought that maybe you have feelings for her ,['Maybe you have feelings for her.']
1109,instead of me she said I dropped my fork and ,['She said I dropped my fork.']
1110,stared blankly magan you're a nice person and all don't ,"[""You're a nice person and all don't.""]"
1111,get me wrong but Sandra and I are sort of ,['We are sort of wrong.']
1112,dating I was actually thinking of asking her to be ,['I was thinking of asking her to be with me.']
1113,my girlfriend pretty soon then I don't really think you're ,"[""I don't think you're my girlfriend.""]"
1114,my type anyway I'm sorry Megan I said she instantly ,['I apologized to Megan immediately.']
1115,burst into tears I went over to her side of ,['I went over to her side and burst into tears.']
1116,the table and padded her on her shoulder I cleared ,['I cleared the table and padded her.']
1117,up the dinner because it was the least that I ,['I went up the dinner because it was the least.']
1118,could do after breaking her heart then I went to ,['I went after breaking her heart.']
1119,my room the next morning Megan haven't left yet which ,"[""Megan hasn't left my room yet.""]"
1120,was odd I was used to waking up to an ,['I was used to waking up.']
1121,empty apartment good morning Colin she said good morning I ,['Colin said good morning.']
1122,replied I'm sorry if I made you feel uncomfortable last ,"[""I'm sorry if I made you feel uncomfortable.""]"
1123,night I was just tired of hiding my feelings here ,['I was tired of hiding my feelings.']
1124,I packed you a breakfast because I know you've got ,['I packed you a breakfast because I know you have something to eat.']
1125,an early class today she said g thanks Megan I'm ,"[""She said thanks to Megan I'm.""]"
1126,actually running late see you later I said well rushing ,['I said rushing after you ran late.']
1127,out of the door while walking to my class I ,['I walked out of the door to my class.']
1128,actually considered finding a new place dalip how was I ,['I was considering finding a new place.']
1129,going to live with a person who is obsessed with ,"[""I'm going to live with a person who is obsessed with me.""]"
1130,me one that I have no interest in suddenly my ,['I have no interest in suddenly.']
1131,phone ring it was Sandra hey can you meet me ,['Can you meet me on the phone?']
1132,near the library before class there's something I want to ,['I want to be near the library before class.']
1133,talk to you about she said sure I'm on my ,['She said that she was on her.']
1134,way I replied when I got there she was already ,['She was already there when I got there.']
1135,waiting she smiled then we walk to a nearby bench ,['We walked to a bench after she smiled.']
1136,well what is it I asked we've been going out ,['I asked what we had been doing.']
1137,for a while and well I was wondering when you ,['I was wondering when you were.']
1138,asked me to be your girlfriend do you really care ,['Do you really want me to be your girlfriend?']
1139,about me she said sadly wow of course I care ,['She said sadly that she cares about me.']
1140,about you I'm in love with you and I was ,['I was in love with you.']
1141,afraid to ask you to be my girlfriend because I ,"[""I'm afraid to ask you to be my girlfriend.""]"
1142,wasn't sure it was the right time I replied I ,"[""I wasn't sure if it was the right time.""]"
1143,held her hands and looked into her eyes Sandra I ,['She looked into her eyes.']
1144,really like for us to become more than friends will ,['For us to become more than friends.']
1145,you be my girlfriend I asked yes she smiled instead ,['I asked if she was my girlfriend and she smiled.']
1146,of going to class we spent the day together we ,"['We spent the day together, savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay savesay']"
1147,had a wonderful romantic time later I went back to ,['I went back to have a wonderful romantic time.']
1148,the apartment when I got there Megan was sitting in ,['Megan was sitting in the apartment when I got there.']
1149,the living room hey Colin how is your day she ,"['Colin, how is your day?']"
1150,asked hi it was okay thanks I said uncomfortably as ,['I said that it was okay.']
1151,I fled to my room a few minutes later I ,['I ran to my room.']
1152,heard a knock on my door yes I asked can ,['I asked can after hearing a knock on my door.']
1153,you help me with something I think the light in ,['I think the light is in.']
1154,my room is broken and I don't know how to ,"[""I don't know how to fix my room.""]"
1155,fix it Megan said sure I'll be right there I ,['Megan said she would be right there.']
1156,replied I left my room and walked over to hers ,['I walked over to hers after leaving my room.']
1157,she opened the door and I noticed that the light ,['I noticed that the light was on when she opened the door.']
1158,was on there's nothing wrong with this I said she ,['I said there was nothing wrong with it.']
1159,reached behind me an I heard a click what are ,['I heard a click behind me.']
1160,you doing I asked Colin I explained you that I ,['I explained to Colin what I was talking about.']
1161,have feelings for you and you didn't care you didn't ,"[""You didn't care if I had feelings for you.""]"
1162,even care that you hurt my feelings I'm locking you ,"[""I'm locking you up because you hurt my feelings.""]"
1163,here in my room until you fall in love with ,['You will fall in love with me here in my room.']
1164,me you are the only 1I want so you have ,['You are the only one I want.']
1165,to feel the same way to eventually she said what ,['She said what eventually.']
1166,ice cream you can't do that that's a crime I'll ,"[""It's a crime to do that with ice cream.""]"
1167,have you arrested your psychotic and you need help right ,['You need help if you have arrested your psychotic.']
1168,now I was so angry I reached for the door ,['I reached for the door because I was so angry.']
1169,and try to a market it can only be activated ,['It can only be activated in a market.']
1170,by my fingerprint you won't be able to get out ,"[""You won't be able to get out because of my fingerprints.""]"
1171,she smirked Iran to the window and try to open ,['She tried to open the window.']
1172,it that's all so pointless she laughed the windows locked ,['She laughed at the windows locked.']
1173,even if I did get out we were on the ,['We were still on even if I left.']
1174,9th floor I'd seriously hurt myself I tried to escape ,['I tried to escape the 9th floor.']
1175,through there I decided to try a different approach please ,['I decided to try a different approach.']
1176,let me out I said calmly I can't stay in ,"[""I told them I couldn't stay in.""]"
